2024-11-18 17:45:53.885 [info] Started local extension host with pid 281543.
2024-11-18 17:45:54.592 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.593 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.594 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.594 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.594 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.595 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.595 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.595 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.596 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.596 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.597 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.597 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.597 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
2024-11-18 17:45:54.598 [error] [idleberg.icon-fonts-legacy]: Unknown language in `contributes.icon-fonts-legacy.language`. Provided value: vue-html
